x_coordinate;y_coordinate;distance_in_pixels;angles;name;slope
83;9;106.07;110.77;Hexagon;-1.0
8;84;71.18;63.92;Hexagon;0.45
73;113;70.29;127.35;Hexagon;-0.83
19;158;170.52;73.63;Hexagon;0.23
185;197;94.02;83.57;Hexagon;-1.78
231;115;182.04;80.75;Hexagon;0.72
